Date,OrderID,SalesRepID,ProductID,CustomerID,Units,UnitPrice,TotalRevenue
01/01/2019,OR001,EM001,PR001,C001,4,75.8,303.2
02/01/2019,OR002,EM002,PR002,C002,2,66,132
02/01/2019,OR003,EM001,PR003,C003,1,23,23
02/01/2019,OR004,EM001,PR003,C004,2,48,96
02/01/2019,OR005,EM003,PR004,C005,4,120,480
03/01/2019,OR006,EM003,PR005,C006,2,159.9,319.8
03/01/2019,OR007,EM003,PR006,C007,3,68.85,206.55
04/01/2019,OR008,EM004,PR007,C008,15,327,4905
04/01/2019,OR009,EM005,PR008,C004,2,48,96
04/01/2019,OR010,EM006,PR008,C005,2,50,100
04/01/2019,OR011,EM007,PR009,C001,2,40,80
04/01/2019,OR012,EM001,PR006,C002,2,45.9,91.8
04/01/2019,OR013,EM001,PR001,C003,6,119.7,718.2
05/01/2019,OR014,EM008,PR005,C004,4,311.8,1247.2
05/01/2019,OR015,EM009,PR006,C005,3,68.85,206.55
05/01/2019,OR016,EM001,PR008,C006,2,48,96
05/01/2019,OR017,EM010,PR006,C007,1,21.95,21.95
05/01/2019,OR018,EM002,PR002,C001,19,613.7,11660.3
05/01/2019,OR019,EM006,PR008,C002,3,75,225
05/01/2019,OR020,EM007,PR005,C003,2,155.9,311.8
05/01/2019,OR021,EM011,PR002,C004,1,33,33
05/01/2019,OR022,EM008,PR002,C005,2,66,132
05/01/2019,OR023,EM009,PR010,C006,3,70.5,211.5
06/01/2019,OR024,EM007,PR010,C007,2,47,94
06/01/2019,OR025,EM007,PR002,C008,1,34,34
07/01/2019,OR026,EM012,PR008,C004,2,48,96
07/01/2019,OR027,EM006,PR009,C005,1,21,21
07/01/2019,OR028,EM003,PR008,C001,2,50,100
07/01/2019,OR029,EM008,PR010,C002,2,47,94
07/01/2019,OR030,EM007,PR007,C003,1,22.95,22.95
07/01/2019,OR031,EM012,PR003,C004,3,72,216
07/01/2019,OR032,EM003,PR004,C005,1,30,30
08/01/2019,OR033,EM002,PR002,C006,3,96,288
08/01/2019,OR034,EM009,PR002,C007,2,64,128
08/01/2019,OR035,EM001,PR001,C001,3,56.85,170.55
08/01/2019,OR036,EM007,PR006,C002,21,457.8,9613.8
09/01/2019,OR037,EM011,PR008,C003,3,72,216
09/01/2019,OR038,EM001,PR001,C004,2,39.9,79.8
09/01/2019,OR039,EM004,PR001,C005,3,59.85,179.55
09/01/2019,OR040,EM009,PR003,C006,2,48,96
10/01/2019,OR041,EM010,PR005,C007,1,79.95,79.95
10/01/2019,OR042,EM007,PR005,C008,2,159.9,319.8
10/01/2019,OR043,EM011,PR011,C004,3,82.5,247.5
10/01/2019,OR044,EM007,PR002,C005,1,33,33
